# Open Chinese Convert (OpenCC) Dictionary (Third-party)
# File: GovVariants_keep_simp.txt
# Format: key	value(s) (values separated by spaces)
# Contributors: TerryTian-tech
# License: Apache License 2.0
# Source: https://github.com/TerryTian-tech/OpenCC-Traditional-Chinese-characters-according-to-Chinese-government-standards
# Description: Convert old Chinese Glyphs to Printed Common Traditional Chinese Characters, but retain the existing simplified and variant characters in the document.
# Examples : 奧 → 奥; 顚 → 顛；讪 → 讪; 讫 → 讫; 驭 → 驭
# Reference: 《通用规范汉字表》(2013)
# Used in configs: t2new_keep_simp.json

㑹	會
㓂	寇
㓜	幼
㘭	坳
㝛	宿
㡌	帽
㡳	底
㣲	微
㤗	泰
㤙	恩
㦯	或
㧞	拔
㨗	捷
㫖	旨
㭊	析
㳙	涓
㸑	爨
㸔	看
㺯	弄
㾗	痕
䂖	石
䆒	究
䑕	鼠
䝔	獾
䟎	趲
䟦	跋
䧏	降
丗	世
丟	丢
乆	久
亊	事
亙	亘
亜	亞
仭	仞
侶	侣
俁	俣
倂	併
値	值
倶	俱
偸	偷
偼	倢
偽	僞
儧	儹
兌	兑
兎	兔
兗	兖
內	内
兪	俞
冊	册
冐	冒
冑	胄
冨	富
凈	净
刋	刊
別	别
刪	删
刴	剁
剎	刹
剝	剥
剰	剩
勻	匀
卋	世
卽	即
収	收
吳	吴
吶	呐
吿	告
呂	吕
呉	吴
呑	吞
唖	啞
喚	唤
喞	唧
喩	喻
嘷	嗥
噐	器
噑	嗥
噓	嘘
囙	因
囪	囱
囬	回
圎	圓
圏	圈
圗	圖
圡	土
垜	垛
埀	垂
塡	填
墍	塈
増	增
夘	卯
奐	奂
奧	奥
姍	姗
姸	妍
娛	娱
娯	娱
婾	媮
媫	婕
媯	嬀
媼	媪
嫰	嫩
嬤	嬷
孶	孳
宮	宫
寏	𡨡
寜	寧
尙	尚
尫	尪
尭	堯
屆	届
屛	屏
崢	峥
巓	巔
巻	卷
帯	帶
帲	帡
幤	幣
幷	并
廏	廄
廽	廻
弒	弑
強	强
弻	弼
弾	彈
彔	录
彚	彙
彞	彝
彥	彦
徳	德
徴	徵
恆	恒
恵	惠
悅	悦
悞	悮
愌	𢚾
愼	慎
慍	愠
戩	戬
戱	戯
戶	户
戸	户
扄	扃
抝	拗
拋	抛
挩	捝
掙	挣
掲	揭
換	换
揷	插
搖	摇
搵	揾
撃	擊
敓	敚
敘	叙
敻	夐
旣	既
昬	昏
昻	昂
晉	晋
晩	晚
暁	曉
暤	皞
暦	曆
暭	皞
曁	暨
曵	曳
曺	曹
曽	曾
朮	术
朶	朵
枴	柺
柵	栅
栁	柳
梲	棁
楡	榆
榲	榅
槪	概
槹	槔
橫	横
櫕	欑
歛	斂
歩	步
歿	殁
殼	殻
毀	毁
毎	每
氳	氲
氷	冰
汚	污
沒	没
涗	涚
涙	淚
淥	渌
淨	浄
淸	清
渇	渴
渙	涣
溈	潙
溌	潑
溫	温
滾	滚
漑	溉
漵	溆
潄	漱
濽	灒
為	爲
焼	燒
煕	熙
煥	焕
熅	煴
爭	争
猙	狰
瑍	𤥺
瑤	瑶
瓉	瓚
甁	瓶
產	産
畒	畝
痲	麻
瘓	痪
皐	皋
皡	皞
盜	盗
盫	盦
眀	明
眞	真
睜	睁
硏	研
祿	禄
禿	秃
稅	税
稲	稻
窰	窑
窽	窾
竒	奇
筓	笄
箏	筝
粛	肅
粵	粤
絕	絶
綠	緑
緖	緒
緪	縆
縁	緣
縕	緼
縦	縱
繋	繫
纉	纘
羋	芈
羨	羡
翶	翱
翺	翱
耉	耇
耼	聃
肻	肯
脫	脱
腁	胼
膃	腽
臥	卧
舎	舍
舗	鋪
苖	苗
茍	苟
茲	兹
荊	荆
蒍	蔿
蒕	蒀
蔵	藏
薀	蕰
蘊	藴
虛	虚
蛻	蜕
蜖	蛔
蝋	蠟
袞	衮
詽	訮
說	説
諌	諫
謠	謡
讃	讚
豣	豜
豬	猪
貟	員
賛	贊
跥	跺
躱	躲
輧	軿
轀	輼
逥	迴
逬	迸
逹	達
逺	遠
遅	遲
遙	遥
郉	邢
郞	郎
郷	鄉
鄕	鄉
鄷	酆
鄼	酇
醞	醖
醸	釀
銳	鋭
錄	録
鎭	鎮
鎻	鎖
鐡	鐵
鑚	鑽
閠	閏
閱	閲
靑	青
靜	静
靣	面
頥	頤
頹	頽
頺	頽
顏	顔
顚	顛
飮	飲
餠	餅
騈	駢
髙	高
髠	髡
髪	髮
鰮	鰛
麺	麵
麼	麽
黃	黄
黒	黑
鼔	鼓
郎	郎
𠀋	丈
𠁊	爽
𠂻	衷
𠅙	亮
𠆕	𢆣
𠉀	候
𠊱	候
𠌸	偋
𠕋	册
𠛬	刑
𠫵	參
𠮷	吉
𠰥	若
𠰸	咽
𠸝	啑
𡈽	土
𡎖	塤
𡏲	塈
𡞵	㛟
𡨋	冥
𡨕	冥
𡨘	冤
𡨚	冤
𡨥	寇
𡫞	踰
𡮢	嘗
𡸁	垂
𢃄	帶
𢊸	廩
𢑱	彝
𢑴	彝
𢕄	微
𢖍	衡
𢙢	恐
𢦙	或
𢨾	戾
𢩄	戽
𢻻	啟
𣀢	燮
