# Open Chinese Convert (OpenCC) Dictionary (Third-party)
# File: STCharacters.txt
# Format: key	value(s) (values separated by spaces)
# Contributors: TerryTian-tech
# License: Apache License 2.0
# Source: https://github.com/TerryTian-tech/OpenCC-Traditional-Chinese-characters-according-to-Chinese-government-standards
# Description: Convert Simplified Chinese to Traditional Chinese(The Chinese Government Standard), based on Open Chinese Convert Dictionary(https://github.com/BYVoid/OpenCC/blob/master/data/dictionary/STCharacters.txt).
# Examples : 启 → 啓; 绿 → 緑
# Reference: 《通用规范汉字表》(2013)
# Used in configs: s2t.json

锕	錒
嗳	噯
锿	鎄
皑	皚
蔼	藹
霭	靄
爱	愛
嫒	嬡
碍	礙
叆	靉
暧	曖
瑷	璦
谙	諳
鹌	鵪
𩽾	鮟
铵	銨
肮	骯
鳌	鰲
袄	襖
骜	驁
鲃	䰾
钯	鈀
坝	壩 垻
罢	罷
鲅	鮁
鲌	鮊
摆	擺 襬
败	敗
颁	頒
板	板 闆
钣	鈑
办	辦
绊	絆
帮	幫
绑	綁
谤	謗
镑	鎊
龅	齙
宝	寶
饱	飽
鸨	鴇
报	報
鲍	鮑
鹎	鵯
贝	貝
𬇙	浿
狈	狽
备	備
钡	鋇
惫	憊
辈	輩
呗	唄
贲	賁
锛	錛
绷	綳
镚	鏰
鲾	鰏
笔	筆
币	幣
毕	畢
闭	閉
诐	詖
哔	嗶
荜	蓽
毙	斃
铋	鉍
筚	篳
赑	贔
滗	潷
跸	蹕
边	邊
笾	籩
编	編
鳊	鯿
贬	貶
变	變
缏	緶
辩	辯
辫	辮
标	標
飑	颮
骉	驫
骠	驃
镖	鏢
飙	飆
镳	鑣
表	表 錶
鳔	鰾
鳖	鱉
别	别 彆
瘪	癟
宾	賓
傧	儐
滨	濱
缤	繽
槟	檳
瑸	璸
镔	鑌
濒	瀕
摈	擯
殡	殯
膑	臏
髌	髕
鬓	鬢
饼	餅
拨	撥
钵	鉢
饽	餑
𬭛	𨨏
驳	駁
袯	襏
钹	鈸
铂	鉑
鹁	鵓
馎	餺
镈	鎛
卜	卜 蔔
补	補
𬷕	鵏
钚	鈈
才	才 纔
财	財
参	參
骖	驂
残	殘
蚕	蠶
惭	慚
惨	慘
䅟	穇
黪	黲
灿	燦
掺	摻
仓	倉
伧	傖
沧	滄
苍	蒼
鸧	鶬
舱	艙
侧	側
厕	厠
恻	惻
测	測
荝	萴
层	層
馇	餷
锸	鍤
镲	鑔
诧	詫
钗	釵
侪	儕
虿	蠆
觇	覘
搀	攙
婵	嬋
谗	讒
禅	禪
馋	饞
缠	纏
蝉	蟬
镡	鐔
镵	鑱
产	産
刬	剗
浐	滻
谄	諂
啴	嘽
铲	鏟
阐	闡
𬊤	燀
蒇	蕆
骣	驏
冁	囅
忏	懺
颤	顫
伥	倀
阊	閶
锠	錩
鲳	鯧
肠	腸
苌	萇
尝	嘗
偿	償
鲿	鱨
厂	廠 厂
场	場
𬬮	鋹
怅	悵
玚	瑒
畅	暢
钞	鈔
鼌	鼂
车	車
伡	俥
砗	硨
彻	徹
𬘭	綝
尘	塵
陈	陳
谌	諶
碜	磣
衬	襯
龀	齔
榇	櫬
谶	讖
柽	檉
称	稱
蛏	蟶
赪	赬
枨	棖
诚	誠
铖	鋮
惩	懲
骋	騁
彨	彲
𫄨	絺
鸱	鴟
驰	馳
迟	遲
齿	齒
饬	飭
炽	熾
冲	衝 冲
虫	蟲
宠	寵
铳	銃
俦	儔
帱	幬
绸	綢
畴	疇
筹	籌
踌	躊
雠	讎
丑	醜 丑
出	出 齣
䝙	貙
刍	芻
锄	鋤
雏	雛
础	礎
储	儲
𬺓	齼
处	處
绌	絀
触	觸
传	傳
钏	釧
疮	瘡
闯	闖
创	創
怆	愴
锤	錘
䲠	鰆
纯	純
莼	蒓
𬭚	錞
鹑	鶉
绰	綽
辍	輟
龊	齪
词	詞
辞	辭
鹚	鷀
𫚖	鮆
刾	㓨
赐	賜
苁	蓯
枞	樅
骢	驄
聪	聰
从	從
丛	叢
辏	輳
撺	攛
镩	鑹
蹿	躥
窜	竄
缞	縗
鹾	鹺
酂	酇
锉	銼
错	錯
𨱏	鎝
达	達
哒	噠
荙	薘
𫟼	鐽
跶	躂
