# Open Chinese Convert (OpenCC) Dictionary (Third-party)
# File: TGCharacters.txt
# Format: key	value(s) (values separated by spaces)
# Contributors: TerryTian-tech, Yi Jianpeng, Hu Xinmei, Duan Yatong
# License: Apache License 2.0
# Source: https://github.com/TerryTian-tech/OpenCC-Traditional-Chinese-characters-according-to-Chinese-government-standards
# Description: Standardize Traditional Chinese characters according to the Chinese government standards.
# Examples : 啟 → 啓; 淨 → 净; 讪 → 訕; 讫 → 訖; 驭 → 馭
# Reference: 《通用规范汉字表》(2013)
# Used in configs: t2gov.json

㑇	㑳
㑴	侵
㑺	俊
㒺	罔
㓕	滅
㓝	刑
㓨	刺
㓶	鍥
㓷	劓
㔻	丕
㕁	却
㕑	厨
㕔	廳
㕘	參
㕠	雙
㕥	以
㖁	吝
㘎	㘚
㘩	坒
㘭	坳
㘺	垡
㙟	塱
㙲	壅
㙻	廛
㚷	你 奶
㛰	婚
㛴	惱
㝛	宿
㝠	冥
㝡	最
㝢	宇
㝱	夢
㝵	礙
㟁	岸
㟧	崿
㟭	岷
㟺	嶁
㟼	嶅
㠀	島
㠂	嶅
㠐	嶠
㠯	以
㠶	帆
㡌	帽
㡠	幀
㢘	廉
㢮	驰
㣽	怒
㤘	㥮
㤙	恩
㤰	怍
㥦	愜
㥫	惇
㦸	戟
㧐	㩳
㧑	撝
㧖	扼
㧟	擓
㧱	拿
㧼	俵
㨗	捷
㨣	擁
㨪	晃
㨿	據
㩀	據
㩃	搴
㩐	扽
㩗	携
㩙	塞
㩜	攬
㩦	携
㪚	散
㪟	敦
㪶	斛
㫄	旁
㫖	旨
㫤	昶
㬉	暖
㬪	叠
㭎	棡
㭻	棠
㮄	榜
㮣	概
㮶	槊
㯐	椭
㯭	櫓
㯳	檠
㯷	樸
㯽	檳
㰍	櫳
㱃	飲
㱕	歸
㳂	沿
㳄	涎
㳒	法
㳬	漩
㴱	深
㵎	澗
㶳	燼
㷙	煎
㷟	煺
㷭	烽
㹅	总
㹖	豢
㹮	貊
㺃	狗
㻫	珌
㼝	碗
㽞	留
㿅	癬
㿜	癟
䁖	瞜
䃅	磾
䃘	硜
䄍	蜡
䅟	穇
䆫	窗
䈥	筋
䈰	筲
䊀	糊
䊷	緇
䊸	紆
䋎	綻
䋯	綮
䋲	繩
䌹	絅
䍌	瓿
䍐	罕
䍑	罕
䍧	牂
䏝	膞
䏣	蛆
䑛	舐
䒶	天
䓖	藭
䓨	罃
䔛	苘
䕃	蔭
䖏	處
䖤	蜿
䗖	螮
䗬	蜂
䘏	恤
䘑	脉
䘚	卒
䘮	喪
䙑	縗
䛐	詞
䛡	話
䜘	警
䜣	訢
䝔	獾
䝙	貙
䝟	猰
䝿	貴
䞨	跬
䟆	蹕
䟎	趲
䠀	蹚
䠊	剕
䠞	蹙
䠥	蹩
䠶	射
䡰	轂
䢉	農
䢜	歸
䣱	酗
䥙	鐩
䥥	鐮
䥽	鏺
䦃	鐯
䧡	墉
䧿	鵲
䨠	靄
䨦	雱
䪘	韙
䬃	颯
䬠	霏
䬡	翥
䬴	秣
䭾	馱
䯗	髀
䯧	廎
䰛	鬲
䰞	煮
䰟	魂
䰿	鮀
䱷	漁
䲟	鮣
䲠	鰆
䲢	鰧
䳇	鵡
䳒	鳶
䳘	鵝
䳨	凰
䳺	鵪
䳼	鷗
䴓	鳾
䴔	鵁
䴕	鴷
䴖	鶄
䴗	鶪
䴘	鷉
䴙	鸊
䴵	餅
䴸	麩
䵷	蛙
䶊	衄
䶧	咬
䶮	龑
䶵	篪
与	與
专	專
业	業
丛	叢
东	東
丝	絲
丟	丢
丣	酉
两	兩
严	嚴
丧	喪
个	個
临	臨
为	爲
丽	麗
举	舉
义	義
乌	烏
乐	樂
乔	喬
乕	虎
乗	乘
习	習
乡	鄉
书	書
买	買
乱	亂
乹	乾
亁	乾
亏	虧
亙	亘
亚	亞
亝	齋
产	産
亩	畝
亯	享
亱	夜
亲	親
亵	褻
亷	廉
亸	嚲
亾	亡
亿	億
仅	僅
从	從
仑	侖
仓	倉
仝	同 仝
仪	儀
们	們
众	衆
优	優
会	會
伛	傴
伞	傘
伟	偉
传	傳
伣	俔
伤	傷
伥	倀
伦	倫
伧	傖
伪	僞
伱	你
佀	似
佇	伫
佈	布
体	體
佔	占
佥	僉
併	并
侠	俠
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侫	佞
侬	儂
侶	侣
侷	局
俁	俣
俌	輔
俛	俯 俛
俦	儔
俨	儼
俩	倆
俪	儷
俫	倈
俬	私
俭	儉
俻	備
倂	并
倃	咱
倐	倏
倖	幸
倣	仿
値	值
倶	俱
倸	睬
债	債
倾	傾
偁	稱
偘	侃
偪	逼
偸	偷
偹	備
偺	咱
偻	僂
偼	倢
偽	僞
偾	僨
偿	償
傌	駡
傑	杰
傚	效
傥	儻
傧	儐
储	儲
傩	儺
傯	偬
僃	備
僊	仙
働	動
僱	雇
僲	仙
儁	俊
儌	僥
儍	傻
儗	擬
儛	舞
儧	攢
儵	倏
儿	兒
兇	凶
兌	兑
兎	兔
児	兒
兗	兖
兠	兜
兦	亡
內	内
兪	俞
兰	蘭
关	關
兴	興
养	養
兽	獸
兾	冀
冁	囅
冄	冉
冈	岡
冊	册
冋	坰
冐	冒
冑	胄
写	寫
军	軍
农	農
冝	宜
冦	寇
冩	寫
冪	幂
冯	馮
冺	泯
冻	凍
凂	浼
凃	涂
凈	净
凜	凛
凟	瀆
凢	凡
凤	鳳
処	處
凫	鳬
凭	憑
凯	凱
凴	憑
凷	塊
击	擊
凿	鑿
刄	刃
刍	芻
刘	劉
则	則
刚	剛
创	創
別	别
刦	劫
刧	劫
刪	删
刬	剗
刭	剄
刱	創
刴	剁
刼	劫
刽	劊
刿	劌
剀	剴
剂	劑
剉	銼
剎	刹
剏	創
剐	剮
剑	劍
剙	創
剝	剥
剠	黥
剣	劍
剧	劇
剱	劍
剳	札
剷	鏟
剹	戮
劄	札 劄
劎	劍
劒	劍
劔	劍
劝	勸
办	辦
务	務
劢	勱
动	動
励	勵
劲	勁
劳	勞
劵	券
効	效
势	勢
勅	敕
勋	勛
勌	倦
勑	敕 勑
勗	勖
勚	勩
勣	績 勣
勦	剿
勮	劇
勯	殫
勲	勛
勳	勛
勻	匀
匃	丐
匄	丐
匘	腦
匟	炕
匦	匭
匧	篋
匮	匱
匲	奩
匳	奩
匵	櫝
匶	柩
区	區
医	醫
卄	廿
卆	卒
卋	世
华	華
协	協
单	單
卖	賣
単	單
卢	盧
卫	衛
卭	邛
卹	恤
卻	却
卽	即
厀	膝
厅	廳
厉	厲
压	壓
厌	厭
厍	厙
厓	崖 睚 涯 厓
厕	厠
厛	廳
厣	厴
厤	曆
厪	廑
厫	廒
厯	歷
厰	廠
厳	嚴
县	縣
参	參
叄	叁
叅	參
叆	靉
叇	靆
双	雙
収	收
变	變
叚	假 叚
叡	睿 叡
号	號
叹	嘆
叽	嘰
吒	吒 咤
吓	嚇
吗	嗎
吚	咿
吢	吣
吨	噸
听	聽
启	啓
吳	吴
吶	呐
吿	告
呂	吕
呉	吴
呌	叫
呑	吞
呒	嘸
呓	囈
呕	嘔
呖	嚦
呗	唄
员	員
呙	咼
呛	嗆
呜	嗚
呪	咒
咊	和
咙	嚨
咛	嚀
咝	噝
咲	笑
咵	侉
响	響
哑	啞
哒	噠
哓	嘵
哔	嗶
哕	噦
哗	嘩
哙	噲
哝	噥
哟	喲
唕	唣
唘	啓
唙	嘀
唚	吣
唛	嘜
唝	嗊
唠	嘮
唢	嗩
唫	吟
唸	念
啎	忤
啑	喋
啔	啓
啗	啖
啟	啓
啣	銜
啧	嘖
啬	嗇
啭	囀
啮	嚙
啰	囉
啴	嘽
啸	嘯
喆	哲 喆
喒	咱
喚	唤
喞	唧
喩	喻
喫	吃
喷	噴
喽	嘍
喾	嚳
嗁	啼
嗫	囁
嗳	噯
