# Open Chinese Convert (OpenCC) Dictionary (Third-party)
# File: TGCharacters_keep_simp.txt
# Format: key	value(s) (values separated by spaces)
# Contributors: TerryTian-tech, Yi Jianpeng, Hu Xinmei, Duan Yatong
# License: Apache License 2.0
# Source: https://github.com/TerryTian-tech/OpenCC-Traditional-Chinese-characters-according-to-Chinese-government-standards
# Description: Only standardize Traditional Chinese characters to the Chinese government standards; Simplified Chinese characters remain unchanged.
# Examples : 啟 → 啓; 淨 → 净; 讪 → 讪; 讫 → 讫; 驭 → 驭
# Reference: 《通用规范汉字表》(2013)
# Used in configs: t2gov_keep_simp.json

㑴	侵
㑺	俊
㒺	罔
㓕	滅
㓝	刑
㓨	刺
㓶	鍥
㓷	劓
㔻	丕
㕁	却
㕑	厨
㕔	廳
㕘	參
㕠	雙
㕥	以
㖁	吝
㘩	坒
㘭	坳
㘺	垡
㙟	塱
㙲	壅
㙻	廛
㚷	你 奶
㛰	婚
㛴	惱
㝛	宿
㝠	冥
㝡	最
㝢	宇
㝱	夢
㝵	礙
㟁	岸
㟧	崿
㟭	岷
㟺	嶁
㟼	嶅
㠀	島
㠂	嶅
㠐	嶠
㠯	以
㠶	帆
㡌	帽
㡠	幀
㢘	廉
㢮	驰
㣽	怒
㤙	恩
㤰	怍
㥦	愜
㥫	惇
㦸	戟
㧖	扼
㧱	拿
㧼	俵
㨗	捷
㨣	擁
㨪	晃
㨿	據
㩀	據
㩃	搴
㩐	扽
㩗	携
㩙	塞
㩜	攬
㩦	携
㪚	散
㪟	敦
㪶	斛
㫄	旁
㫖	旨
㫤	昶
㬉	暖
㬪	叠
㭻	棠
㮄	榜
㮣	概
㮶	槊
㯐	椭
㯭	櫓
㯳	檠
㯷	樸
㯽	檳
㰍	櫳
㱃	飲
㱕	歸
㳂	沿
㳄	涎
㳒	法
㳬	漩
㴱	深
㵎	澗
㶳	燼
㷙	煎
㷟	煺
㷭	烽
㹅	总
㹖	豢
㹮	貊
㺃	狗
㻫	珌
㼝	碗
㽞	留
㿅	癬
㿜	癟
䃘	硜
䄍	蜡
䆫	窗
䈥	筋
䈰	筲
䊀	糊
䊷	緇
䊸	紆
䋎	綻
䋯	綮
䋲	繩
䍌	瓿
䍐	罕
䍑	罕
䍧	牂
䏣	蛆
䑛	舐
䒶	天
䔛	苘
䕃	蔭
䖏	處
䖤	蜿
䗬	蜂
䘏	恤
䘑	脉
䘚	卒
䘮	喪
䙑	縗
䛐	詞
䛡	話
䜘	警
䝔	獾
䝟	猰
䝿	貴
䞨	跬
䟆	蹕
䟎	趲
䠀	蹚
䠊	剕
䠞	蹙
䠥	蹩
䠶	射
䡰	轂
䢉	農
䢜	歸
䣱	酗
䥙	鐩
䥥	鐮
䧡	墉
䧿	鵲
䨠	靄
䨦	雱
䪘	韙
䬃	颯
䬠	霏
䬡	翥
䬴	秣
䭾	馱
䯗	髀
䯧	廎
䰛	鬲
䰞	煮
䰟	魂
䰿	鮀
䱷	漁
䳇	鵡
䳒	鳶
䳘	鵝
䳨	凰
䳺	鵪
䳼	鷗
䴵	餅
䴸	麩
䵷	蛙
䶊	衄
䶧	咬
䶵	篪
丟	丢
丣	酉
乕	虎
乗	乘
乹	乾
亁	乾
亙	亘
亝	齋
亯	享
亱	夜
亷	廉
亾	亡
仝	同 仝
伱	你
佀	似
佇	伫
佈	布
佔	占
併	并
侫	佞
侶	侣
侷	局
俁	俣
俌	輔
俛	俯 俛
俬	私
俻	備
倂	并
倃	咱
倐	倏
倖	幸
倣	仿
値	值
倶	俱
倸	睬
偁	稱
偘	侃
偪	逼
偸	偷
偹	備
偺	咱
偼	倢
偽	僞
傌	駡
傑	杰
傚	效
傯	偬
僃	備
僊	仙
働	動
僱	雇
僲	仙
儁	俊
儌	僥
儍	傻
儗	擬
儛	舞
儧	攢
儵	倏
兇	凶
兌	兑
兎	兔
児	兒
兗	兖
兠	兜
兦	亡
內	内
兪	俞
兾	冀
冄	冉
冊	册
冋	坰
冐	冒
