# Open Chinese Convert (OpenCC) Dictionary (Third-party)
# File: TSCharacters.txt
# Format: key	value(s) (values separated by spaces)
# Contributors: TerryTian-tech
# License: Apache License 2.0
# Source: https://github.com/TerryTian-tech/OpenCC-Traditional-Chinese-characters-according-to-Chinese-government-standards
# Description: Convert Traditional Chinese to Simplified Chinese, based on Open Chinese Convert Dictionary(https://github.com/BYVoid/OpenCC/blob/master/data/dictionary/TSCharacters.txt).
# Examples : 錄 → 录; 録 → 录
# Reference: 《通用规范汉字表》(2013)
# Used in configs: t2s.json

𡑍	𫭼
𥗽	𬒗
𨧀	𬭊
𨨏	𬭛
𨭆	𬭶
𨭎	𬭳
㞞	𪨊
䭔	𫗰
龯	𨱆
錒	锕
捱	挨
鎄	锿
皚	皑
騃	𫘤
噯	嗳
藹	蔼
靄	霭
嬡	嫒
愛	爱
曖	暧
璦	瑷
礙	碍
薆	𫉁
靉	叆
諳	谙
鞌	鞍
鵪	鹌
晻	暗
銨	铵
㟁	岸
菴	庵
闇	暗
鮟	𩽾
骯	肮
囂	嚣
翺	翱
鰲	鳌
鼇	鳌
媼	媪
抝	拗
襖	袄
㘭	坳
奧	奥
驁	骜
鈸	钹
鈀	钯
䰾	鲃
垻	坝
壩	坝
罷	罢
覇	霸
鮁	鲅
鮊	鲌
擺	摆
栢	柏
襬	摆
唄	呗
敗	败
粺	稗
頒	颁
岅	坂
板	板
鈑	钣
闆	板
阪	阪 坂
絆	绊
辦	办
幇	帮
幚	帮
幫	帮
牓	榜
綁	绑
髈	膀
謗	谤
鎊	镑
襃	褒
齙	龅
寳	宝
寶	宝
緥	褓
飽	饱
鴇	鸨
報	报
鉋	刨
鑤	刨
鮑	鲍
揹	背
桮	杯
盃	杯
鵯	鹎
鉳	锫
俻	备
偹	备
備	备
憊	惫
狽	狈
誖	悖
貝	贝
軰	辈
輩	辈
鋇	钡
犇	奔 犇
賁	贲
逩	奔
錛	锛
綳	绷
繃	绷
鏰	镚
偪	逼
筆	笔
粃	秕
䦘	𨸄
嗶	哔
幣	币
𡚁	弊
斃	毙
潷	滗
熚	𤇹
獘	毙
畢	毕
痺	痹
篳	筚
蓽	荜
詖	诐
贔	赑
蹕	跸
辟	辟
鉍	铋
閉	闭
闢	辟
鰏	鲾
籩	笾
編	编
邊	边
鯾	鳊
鯿	鳊
貶	贬
㳒	法
徧	遍
變	变
辮	辫
辯	辩
標	标
羆	罴
臕	膘
鏢	镖
鑣	镳
颮	飑
颷	飙
飆	飙
飇	飙
驃	骠
驫	骉
表	表
錶	表
鰾	鳔
癟	瘪
鱉	鳖
鼈	鳖
別	别
别	别
㿜	瘪
彆	别
儐	傧
檳	槟
濱	滨
瀕	濒
繽	缤
賓	宾
鑌	镔
擯	摈
殯	殡
臏	膑
髕	髌
鬢	鬓
氷	冰
竝	并
稟	禀
餅	饼
並	并
併	并
剝	剥
彂	发
撥	拨
盋	钵
缽	钵
襏	袯
鉢	钵
餑	饽
愽	博
簙	博
𩓐	脖
鉑	铂
鎛	镈
駁	驳
駮	驳
鵓	鹁
卜	卜
蔔	卜
鵏	𬷕
補	补
佈	布
鈈	钚
才	才
纔	才
財	财
倸	睬
寀	采
採	采
綵	彩
跴	踩
埰	采
㕘	参
參	参
叄	叁
蓡	参
驂	骖
鰺	鲹
慙	惭
慚	惭
殘	残
蠶	蚕
慘	惨
黲	黪
摻	掺
燦	灿
倉	仓
傖	伧
滄	沧
艙	舱
蒼	苍
鶬	鸧
𢮥	操
艸	草
側	侧
冊	册
厠	厕
廁	厕
惻	恻
測	测
筞	策
層	层
揷	插
鍤	锸
餷	馇
査	查
𦉆	碴
詧	察
鑔	镲
剎	刹
奼	姹
詫	诧
釵	钗
儕	侪
蠆	虿
攙	搀
覘	觇
単	单
單	单
嬋	婵
禪	禅
緾	缠
纏	缠
蟬	蝉
讒	谗
鐔	镡
鑱	镵
饞	馋
剗	刬
剷	铲
嘽	啴
囅	冁
滻	浐
燀	𬊤
產	产
産	产
蕆	蒇
諂	谄
鏟	铲
闡	阐
懴	忏
懺	忏
顫	颤
倀	伥
閶	阊
鯧	鲳
償	偿
嘗	尝
嚐	尝
場	场
塲	场
甞	尝
腸	肠
膓	肠
萇	苌
長	长
鱨	鲿
䠀	蹚
厰	厂
廠	厂
鋹	𬬮
悵	怅
暢	畅
𠞰	剿
勦	剿
鈔	钞
濤	涛
硨	砗
車	车
䋲	绳
撦	扯
徹	彻
轍	辙
塵	尘
諶	谌
陳	陈
磣	碜
㧱	拿
櫬	榇
稱	称
襯	衬
讖	谶
趂	趁
齔	龀
撐	撑
檉	柽
湞	浈
蟶	蛏
赬	赪
鐺	铛
乗	乘
堘	塍
懲	惩
棖	枨
椉	乘
澂	澄 澂
誠	诚
鋮	铖
騁	骋
喫	吃
癡	痴
絺	𫄨
鴟	鸱
遲	迟
馳	驰
恥	耻
齒	齿
勅	敕
熾	炽
翄	翅
飭	饬
傭	佣
冲	冲
湧	涌
衝	冲
蟲	虫
寵	宠
銃	铳
篘	𥬠
儔	俦
幬	帱
疇	畴
籌	筹
